wild,397
link,219
world,209
nintendo,110
hyrule,101
find,100
series,94
legend,93
get,93
shrines,92
first,88
many,87
enemies,82
you,78
items,74
best,67
dungeons,65
take,65
puzzles,65
open,63
long,62
see,60
never,60
would,60
feel,56
adventure,54
dungeon,54
use,53
still,53
point,52
might,52
well,51
could,51
shrine,51
need,51
stamina,50
really,49
little,49
often,47
switch,47
feels,46
may,46
climb,46
right,46
past,44
four,44
ganon,44
open-world,44
used,43
puzzle,43
side,43
almost,42
enemy,41
simply,40
weapon,40
quests,40
main,40
makes,39
exploring,39
using,39
play,38
explore,38
ability,38
mountain,38
everything,37
fire,37
area,37
land,35
start,34
found,34
order,33
years,33
made,33
sense,32
making,32
actually,32
small,32
design,31
complete,31
able,31
massive,31
abilities,30
allows,30
attack,30
approach,30
certain,30
direction,29
next,29
far,29
better,29
fight,29
high,29
health,29
key,28
item,28
times,28
mountains,28
plateau,27
solve,27
set,27
vast,27
bombs,27
course,27
place,27
sword,27
exploration,26
quest,26
big,26
distance,26
ways,26
done,26
truly,25
final,25
throughout,25
easily,25
instead,25
heart,25
move,25
princess,25
learn,25
familiar,25
quite,24
path,24
locations,24
work,24
moments,24
know,24
food,24
hearts,24
look,24
beasts,24
constantly,23
sheikah,23
challenges,23
eventually,23
offer,23
special,23
time,23
cooking,23
entire,23
hero,23
divine,23
wind,23
break,23
early,22
moment,22
fact,22
head,22
run,22
top,22
tower,22
reach,22
usually,22
trees,22
inventory,22
rather,22
less,22
pick,22
objects,22
keep,22
quickly,22
thing,22
mechanics,22
finding,22
access,22
running,22
powers,22
part,22
towers,22
metal,22
previous,21
hidden,21
short,21
weather,21
together,21
beautiful,21
hit,21
since,21
full,21
end,21
title,21
seen,21
hand,21
places,20
evil,20
sheer,20
rest,20
formula,20
especially,20
giant,20
variety,20
screen,20
left,20
offers,20
monsters,20
calamity,19
reward,19
villages,19
arrows,19
progress,19
